order_id,customer_id,session_id,order_date,num_items,subtotal,discount,total,returned
O00000131,C000046,S00001960,2023-04-20,3,182.91,0.0,182.91,False
O00000132,C000046,S00001963,2023-04-17,3,348.46,0.0,348.46,False
O00000133,C000046,S00001966,2023-05-20,3,218.88,0.0,218.88,False
O00000134,C000046,S00001979,2023-09-20,3,198.83,0.0,198.83,False
O00000135,C000046,S00001981,2023-03-16,3,180.03,0.0,180.03,False
O00000136,C000046,S00001982,2023-12-06,3,134.63,8.2,126.43,False
O00000137,C000046,S00001995,2023-07-03,3,174.69,0.0,174.69,False
O00000138,C000046,S00002002,2023-09-23,3,342.12,0.0,342.12,False
O00000139,C000047,S00002004,2023-10-04,3,511.51,0.0,511.51,True
O00000140,C000047,S00002006,2023-10-19,3,439.98,0.0,439.98,False
O00000141,C000047,S00002018,2023-07-15,3,479.99,0.0,479.99,False
O00000142,C000047,S00002025,2023-06-14,3,135.69,0.0,135.69,False
O00000143,C000047,S00002028,2023-09-24,3,163.71,0.0,163.71,True
O00000144,C000047,S00002042,2023-07-14,3,169.98,0.0,169.98,True
O00000145,C000047,S00002049,2023-12-09,3,228.53,34.86,193.67,True
O00000146,C000048,S00002052,2023-07-17,4,403.38,0.0,403.38,False
O00000147,C000048,S00002058,2023-09-12,4,173.67,0.0,173.67,False
O00000148,C000049,S00002060,2023-12-21,1,115.25,21.25,94.0,False
O00000149,C000050,S00002104,2023-04-13,3,309.83,0.0,309.83,False
O00000150,C000050,S00002105,2023-12-25,3,247.3,16.14,231.16,False
O00000151,C000050,S00002109,2023-08-10,3,409.3,0.0,409.3,False
O00000152,C000050,S00002120,2023-05-27,3,255.75,0.0,255.75,True
O00000153,C000050,S00002138,2023-08-29,3,184.69,0.0,184.69,True
O00000154,C000050,S00002139,2023-04-11,3,278.87,0.0,278.87,False
O00000155,C000050,S00002152,2023-05-25,3,239.82,0.0,239.82,False
O00000156,C000050,S00002154,2023-07-19,3,452.99,0.0,452.99,False
O00000157,C000051,S00002172,2023-10-17,3,128.07,0.0,128.07,True
O00000158,C000051,S00002187,2023-09-24,3,164.87,0.0,164.87,False
O00000159,C000051,S00002194,2023-11-18,3,148.88,9.08,139.8,True
O00000160,C000051,S00002203,2023-08-01,3,123.6,0.0,123.6,True
O00000161,C000051,S00002207,2023-11-08,3,154.87,2.31,152.56,False
O00000162,C000052,S00002231,2023-07-25,1,67.12,0.0,67.12,False
O00000163,C000054,S00002303,2023-10-21,1,129.9,0.0,129.9,False
O00000164,C000054,S00002316,2023-09-29,1,59.03,0.0,59.03,True
O00000165,C000055,S00002329,2023-12-20,3,281.9,52.22,229.68,False
O00000166,C000055,S00002330,2023-07-01,3,182.71,0.0,182.71,False
O00000167,C000055,S00002332,2023-12-15,3,282.15,0.81,281.34,False
O00000168,C000055,S00002338,2023-12-08,3,233.01,15.03,217.98,False
O00000169,C000055,S00002340,2023-10-08,3,266.67,0.0,266.67,True
O00000170,C000055,S00002342,2023-10-02,3,175.24,0.0,175.24,True
O00000171,C000056,S00002370,2023-05-26,4,243.11,0.0,243.11,False
O00000172,C000056,S00002374,2023-03-13,4,254.31,0.0,254.31,False
O00000173,C000057,S00002380,2023-08-08,3,245.76,0.0,245.76,False
O00000174,C000057,S00002386,2023-11-06,3,463.33,88.43,374.9,False
O00000175,C000057,S00002392,2023-07-24,3,152.66,0.0,152.66,False
O00000176,C000057,S00002393,2023-08-02,3,462.85,0.0,462.85,False
O00000177,C000057,S00002394,2023-08-17,3,131.34,0.0,131.34,False
O00000178,C000057,S00002409,2023-08-30,3,157.55,0.0,157.55,False
O00000179,C000057,S00002413,2023-10-22,3,350.75,0.0,350.75,False
O00000180,C000057,S00002418,2023-06-02,3,344.77,0.0,344.77,False
O00000181,C000058,S00002448,2023-07-17,3,154.39,0.0,154.39,False
O00000182,C000058,S00002452,2023-08-08,3,457.81,0.0,457.81,True
O00000183,C000058,S00002460,2023-09-16,3,140.03,0.0,140.03,False
O00000184,C000058,S00002469,2023-07-16,3,467.2,0.0,467.2,False
O00000185,C000059,S00002488,2023-07-20,1,126.63,0.0,126.63,False
O00000186,C000059,S00002489,2023-03-21,1,188.95,0.0,188.95,False
O00000187,C000060,S00002537,2023-12-05,3,183.94,34.33,149.61,False
O00000188,C000061,S00002547,2023-07-24,3,225.86,0.0,225.86,False
O00000189,C000061,S00002567,2023-09-20,3,297.2,0.0,297.2,False
O00000190,C000061,S00002569,2023-07-09,3,395.01,0.0,395.01,True
O00000191,C000061,S00002581,2023-11-23,3,289.37,48.68,240.69,False
O00000192,C000061,S00002585,2023-11-19,3,309.95,15.62,294.33,False
O00000193,C000061,S00002587,2023-12-03,3,257.04,11.33,245.71,False
O00000194,C000061,S00002590,2023-10-13,3,563.55,0.0,563.55,True
O00000195,C000061,S00002592,2023-10-15,3,330.28,0.0,330.28,False
O00000196,C000061,S00002600,2023-10-22,3,202.55,0.0,202.55,False
O00000197,C000061,S00002605,2023-07-19,3,168.37,0.0,168.37,False
O00000198,C000063,S00002709,2023-07-23,1,141.81,0.0,141.81,False
O00000199,C000063,S00002725,2023-02-07,1,56.76,0.0,56.76,True
O00000200,C000064,S00002745,2023-08-03,1,31.27,0.0,31.27,True
O00000201,C000064,S00002765,2023-09-21,1,50.51,0.0,50.51,False
O00000202,C000065,S00002793,2023-09-06,1,56.5,0.0,56.5,False
O00000203,C000065,S00002795,2023-12-23,1,87.62,10.98,76.64,False
O00000204,C000065,S00002802,2023-10-27,1,44.66,0.0,44.66,False
O00000205,C000065,S00002804,2023-09-18,1,194.15,0.0,194.15,False
O00000206,C000066,S00002844,2023-11-09,1,31.27,1.19,30.08,False
O00000207,C000066,S00002862,2023-08-27,1,72.65,0.0,72.65,False
O00000208,C000067,S00002899,2023-07-17,1,43.18,0.0,43.18,False
O00000209,C000068,S00002906,2023-08-16,4,235.44,0.0,235.44,True
O00000210,C000069,S00002918,2023-12-27,3,355.1,12.07,343.03,False
O00000211,C000069,S00002920,2023-05-13,3,373.8,0.0,373.8,True
O00000212,C000069,S00002926,2023-07-05,3,528.27,0.0,528.27,False
O00000213,C000069,S00002929,2023-11-01,3,146.08,7.76,138.32,False
O00000214,C000069,S00002940,2023-08-31,3,193.01,0.0,193.01,False
O00000215,C000069,S00002949,2023-11-04,3,287.52,48.12,239.4,False
O00000216,C000070,S00002960,2023-12-25,1,22.53,2.71,19.82,False
O00000217,C000072,S00003045,2023-06-12,3,200.54,0.0,200.54,False
O00000218,C000072,S00003049,2023-08-17,3,376.89,0.0,376.89,False
O00000219,C000072,S00003053,2023-04-07,3,466.77,0.0,466.77,False
O00000220,C000072,S00003067,2023-03-27,3,118.48,0.0,118.48,True
O00000221,C000072,S00003097,2023-07-28,3,211.5,0.0,211.5,False
O00000222,C000075,S00003207,2023-08-11,1,74.96,0.0,74.96,False
O00000223,C000076,S00003298,2023-05-27,1,50.51,0.0,50.51,False
O00000224,C000077,S00003316,2023-07-28,3,520.11,0.0,520.11,False
O00000225,C000077,S00003334,2023-06-10,3,163.64,0.0,163.64,False
O00000226,C000078,S00003381,2023-09-14,1,25.65,0.0,25.65,False
O00000227,C000080,S00003428,2023-11-04,3,81.77,2.99,78.78,True
O00000228,C000080,S00003430,2023-11-22,3,383.06,47.28,335.78,True
O00000229,C000080,S00003436,2023-08-08,3,356.64,0.0,356.64,False
O00000230,C000080,S00003437,2023-09-03,3,249.13,0.0,249.13,False
O00000231,C000080,S00003447,2023-11-29,3,431.34,46.83,384.51,False
O00000232,C000080,S00003448,2023-12-24,3,277.84,30.38,247.46,False
O00000233,C000080,S00003453,2023-10-23,3,303.08,0.0,303.08,False
O00000234,C000081,S00003463,2023-06-20,3,181.89,0.0,181.89,False
O00000235,C000081,S00003468,2023-12-30,3,149.98,12.35,137.63,False
O00000236,C000081,S00003471,2023-10-25,3,501.73,0.0,501.73,False
O00000237,C000081,S00003474,2023-03-14,3,157.96,0.0,157.96,False
O00000238,C000081,S00003480,2023-09-07,3,215.52,0.0,215.52,False
O00000239,C000081,S00003481,2023-05-01,3,436.2,0.0,436.2,False
O00000240,C000081,S00003494,2023-05-05,3,190.97,0.0,190.97,False
O00000241,C000081,S00003495,2023-08-25,3,284.5,0.0,284.5,False
O00000242,C000081,S00003503,2023-11-13,3,343.36,44.78,298.58,False
O00000243,C000081,S00003516,2023-05-13,3,369.84,0.0,369.84,False
O00000244,C000084,S00003661,2023-07-29,1,138.06,0.0,138.06,False
O00000245,C000085,S00003685,2023-08-02,3,307.63,0.0,307.63,True
O00000246,C000085,S00003703,2023-11-16,3,346.67,1.99,344.68,False
O00000247,C000085,S00003706,2023-09-30,3,142.76,0.0,142.76,True
O00000248,C000085,S00003707,2023-08-08,3,219.52,0.0,219.52,True
O00000249,C000085,S00003708,2023-07-26,3,210.9,0.0,210.9,False
O00000250,C000085,S00003712,2023-08-14,3,119.37,0.0,119.37,False
O00000251,C000085,S00003715,2023-05-09,3,91.83,0.0,91.83,False
O00000252,C000087,S00003759,2023-09-21,4,229.61,0.0,229.61,False
O00000253,C000087,S00003763,2023-04-16,4,609.37,0.0,609.37,False
O00000254,C000090,S00003907,2023-10-19,1,59.03,0.0,59.03,False
O00000255,C000091,S00003986,2023-03-30,3,250.56,0.0,250.56,False
O00000256,C000091,S00003990,2023-11-30,3,267.37,52.9,214.47,True
O00000257,C000091,S00003995,2023-10-06,3,354.59,0.0,354.59,False
O00000258,C000091,S00004000,2023-06-29,3,293.58,0.0,293.58,False
O00000259,C000091,S00004007,2023-04-19,3,162.21,0.0,162.21,True
O00000260,C000091,S00004012,2023-04-25,3,222.93,0.0,222.93,False
O00000261,C000092,S00004052,2023-06-27,1,14.65,0.0,14.65,False
O00000262,C000092,S00004061,2023-10-03,1,195.19,0.0,195.19,True
O00000263,C000093,S00004108,2023-10-23,1,31.27,0.0,31.27,False
O00000264,C000094,S00004128,2023-11-23,4,377.3,43.76,333.54,False
O00000265,C000095,S00004171,2023-03-11,1,30.16,0.0,30.16,False
O00000266,C000096,S00004176,2023-09-03,1,95.36,0.0,95.36,False
O00000267,C000097,S00004258,2023-10-17,1,141.81,0.0,141.81,False
O00000268,C000099,S00004353,2023-08-17,1,65.05,0.0,65.05,False
O00000269,C000101,S00004450,2023-05-31,1,50.58,0.0,50.58,False
O00000270,C000102,S00004454,2023-06-19,3,195.65,0.0,195.65,False
O00000271,C000102,S00004473,2023-12-25,3,210.64,24.85,185.79,False
O00000272,C000102,S00004477,2023-11-23,3,496.03,68.2,427.83,False
O00000273,C000102,S00004482,2023-09-03,3,377.4,0.0,377.4,False
O00000274,C000104,S00004566,2023-09-26,1,126.63,0.0,126.63,False
O00000275,C000104,S00004567,2023-04-02,1,95.79,0.0,95.79,False
O00000276,C000104,S00004573,2023-11-23,1,67.12,13.17,53.95,False
O00000277,C000104,S00004581,2023-02-25,1,94.55,0.0,94.55,False
O00000278,C000106,S00004679,2023-07-07,1,71.1,0.0,71.1,False
O00000279,C000106,S00004712,2023-06-27,1,284.82,0.0,284.82,True
O00000280,C000107,S00004737,2023-11-03,3,170.14,15.29,154.85,False
O00000281,C000107,S00004771,2023-08-05,3,223.85,0.0,223.85,False
O00000282,C000107,S00004778,2023-07-09,3,354.55,0.0,354.55,True
O00000283,C000109,S00004857,2023-08-05,3,342.02,0.0,342.02,False
O00000284,C000109,S00004858,2023-03-27,3,253.48,0.0,253.48,False
O00000285,C000109,S00004864,2023-02-13,3,422.76,0.0,422.76,True
O00000286,C000109,S00004865,2023-11-15,3,294.58,47.58,247.0,False
O00000287,C000109,S00004886,2023-04-16,3,412.14,0.0,412.14,False
O00000288,C000109,S00004899,2023-10-02,3,124.0,0.0,124.0,False
O00000289,C000110,S00004935,2023-12-20,1,97.9,4.96,92.94,False
O00000290,C000110,S00004958,2023-11-24,1,59.19,0.56,58.63,False
O00000291,C000110,S00004966,2023-11-29,1,59.75,9.17,50.58,False
O00000292,C000110,S00004971,2023-06-19,1,50.27,0.0,50.27,False
O00000293,C000111,S00005001,2023-08-07,3,147.47,0.0,147.47,False
O00000294,C000111,S00005006,2023-10-13,3,336.45,0.0,336.45,False
O00000295,C000111,S00005013,2023-08-09,3,199.06,0.0,199.06,False
O00000296,C000113,S00005075,2023-12-29,3,114.03,15.47,98.56,True
O00000297,C000113,S00005081,2023-06-13,3,486.46,0.0,486.46,False
O00000298,C000113,S00005085,2023-09-27,3,307.79,0.0,307.79,False
O00000299,C000113,S00005087,2023-09-08,3,296.27,0.0,296.27,True
O00000300,C000113,S00005089,2023-06-10,3,330.39,0.0,330.39,False
O00000301,C000113,S00005092,2023-12-07,3,284.84,29.38,255.46,False
O00000302,C000114,S00005170,2023-11-06,3,142.79,27.2,115.59,False
O00000303,C000114,S00005176,2023-08-15,3,325.13,0.0,325.13,False
O00000304,C000114,S00005184,2023-12-20,3,342.22,14.6,327.62,False
O00000305,C000114,S00005194,2023-09-24,3,139.79,0.0,139.79,False
O00000306,C000114,S00005197,2023-04-06,3,254.28,0.0,254.28,False
O00000307,C000114,S00005198,2023-09-03,3,163.94,0.0,163.94,True
O00000308,C000115,S00005239,2023-05-09,1,95.36,0.0,95.36,False
O00000309,C000116,S00005296,2023-09-24,3,168.79,0.0,168.79,False
O00000310,C000116,S00005298,2023-09-12,3,450.62,0.0,450.62,True
O00000311,C000116,S00005305,2023-11-29,3,147.16,11.19,135.97,False
O00000312,C000116,S00005311,2023-05-22,3,271.91,0.0,271.91,False
O00000313,C000116,S00005339,2023-03-12,3,149.53,0.0,149.53,False
O00000314,C000118,S00005441,2023-06-10,1,198.01,0.0,198.01,False
O00000315,C000119,S00005476,2023-05-15,3,545.63,0.0,545.63,False
O00000316,C000119,S00005484,2023-08-04,3,361.58,0.0,361.58,False
O00000317,C000119,S00005487,2023-11-09,3,322.95,61.41,261.54,False
O00000318,C000119,S00005498,2023-03-11,3,529.19,0.0,529.19,True
O00000319,C000119,S00005508,2023-06-21,3,290.78,0.0,290.78,False
O00000320,C000119,S00005511,2023-06-01,3,222.67,0.0,222.67,True
O00000321,C000119,S00005512,2023-12-13,3,176.41,12.04,164.37,False
O00000322,C000119,S00005520,2023-06-21,3,430.28,0.0,430.28,False
O00000323,C000119,S00005523,2023-04-22,3,371.45,0.0,371.45,False
O00000324,C000121,S00005597,2023-06-28,1,73.27,0.0,73.27,False
O00000325,C000121,S00005649,2023-08-28,1,73.27,0.0,73.27,False
O00000326,C000122,S00005671,2023-11-14,3,183.05,17.48,165.57,False
O00000327,C000122,S00005673,2023-07-27,3,241.28,0.0,241.28,False
O00000328,C000122,S00005683,2023-10-18,3,168.75,0.0,168.75,False
O00000329,C000122,S00005686,2023-04-28,3,361.51,0.0,361.51,False
O00000330,C000122,S00005689,2023-05-04,3,190.85,0.0,190.85,False
O00000331,C000122,S00005712,2023-04-10,3,146.77,0.0,146.77,False
O00000332,C000123,S00005743,2023-07-04,1,64.64,0.0,64.64,False
O00000333,C000124,S00005750,2023-05-19,3,93.97,0.0,93.97,False
O00000334,C000124,S00005753,2023-07-27,3,142.04,0.0,142.04,False
O00000335,C000124,S00005760,2023-08-09,3,373.46,0.0,373.46,False
O00000336,C000124,S00005763,2023-05-15,3,166.0,0.0,166.0,False
O00000337,C000124,S00005793,2023-06-29,3,485.36,0.0,485.36,False
O00000338,C000125,S00005846,2023-08-08,1,74.21,0.0,74.21,False
O00000339,C000127,S00005922,2023-06-28,3,599.7,0.0,599.7,False
O00000340,C000127,S00005939,2023-09-20,3,350.88,0.0,350.88,False
O00000341,C000127,S00005943,2023-05-17,3,172.38,0.0,172.38,False
O00000342,C000127,S00005945,2023-09-06,3,253.9,0.0,253.9,False
O00000343,C000127,S00005959,2023-06-15,3,170.26,0.0,170.26,False
O00000344,C000128,S00005995,2023-06-06,1,95.36,0.0,95.36,False
O00000345,C000128,S00006022,2023-09-08,1,188.95,0.0,188.95,False
O00000346,C000130,S00006089,2023-10-11,1,45.9,0.0,45.9,False
O00000347,C000130,S00006104,2023-12-11,1,50.51,6.17,44.34,False
O00000348,C000133,S00006241,2023-11-02,1,61.24,2.7,58.54,False
O00000349,C000134,S00006272,2023-07-09,1,382.47,0.0,382.47,False
O00000350,C000134,S00006276,2023-10-30,1,97.9,0.0,97.9,False
O00000351,C000135,S00006283,2023-05-11,4,193.43,0.0,193.43,False
O00000352,C000135,S00006288,2023-07-19,4,455.17,0.0,455.17,False
O00000353,C000137,S00006360,2023-09-06,1,185.49,0.0,185.49,False
O00000354,C000137,S00006382,2023-02-11,1,198.01,0.0,198.01,False
O00000355,C000139,S00006493,2023-10-15,4,236.78,0.0,236.78,False
O00000356,C000140,S00006498,2023-08-15,3,241.36,0.0,241.36,True
O00000357,C000140,S00006503,2023-07-23,3,215.07,0.0,215.07,False
O00000358,C000140,S00006514,2023-10-18,3,170.59,0.0,170.59,False
O00000359,C000140,S00006516,2023-06-30,3,224.93,0.0,224.93,False
O00000360,C000140,S00006520,2023-07-20,3,214.39,0.0,214.39,False
O00000361,C000140,S00006542,2023-08-25,3,259.56,0.0,259.56,True
O00000362,C000142,S00006653,2023-09-23,1,60.74,0.0,60.74,True
O00000363,C000143,S00006683,2023-01-25,3,269.48,0.0,269.48,True
O00000364,C000143,S00006688,2023-12-21,3,398.28,39.61,358.67,False
O00000365,C000143,S00006705,2023-11-12,3,363.17,18.96,344.21,True
O00000366,C000143,S00006716,2023-03-03,3,216.14,0.0,216.14,False
O00000367,C000143,S00006732,2023-04-17,3,321.12,0.0,321.12,True
O00000368,C000143,S00006741,2023-06-06,3,223.48,0.0,223.48,False
O00000369,C000145,S00006848,2023-08-30,3,392.19,0.0,392.19,False
O00000370,C000145,S00006850,2023-10-12,3,335.4,0.0,335.4,False
O00000371,C000149,S00007015,2023-05-04,3,377.19,0.0,377.19,False
O00000372,C000149,S00007022,2023-10-16,3,253.26,0.0,253.26,True
O00000373,C000149,S00007026,2023-03-08,3,360.79,0.0,360.79,True
O00000374,C000149,S00007046,2023-08-02,3,284.83,0.0,284.83,False
O00000375,C000149,S00007048,2023-02-26,3,368.3,0.0,368.3,False
O00000376,C000149,S00007052,2023-04-03,3,132.56,0.0,132.56,False
